name,url,promoted_content,query,tweet_volume
#CORONIL,http://twitter.com/search?q=%23CORONIL,,%23CORONIL,64042.0
#SafooraZargar,http://twitter.com/search?q=%23SafooraZargar,,%23SafooraZargar,18643.0
#आयुर्वेदविजय_कोरोनिल_श्वासारि,http://twitter.com/search?q=%23%E0%A4%86%E0%A4%AF%E0%A5%81%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A5%87%E0%A4%A6%E0%A4%B5%E0%A4%BF%E0%A4%9C%E0%A4%AF_%E0%A4%95%E0%A5%8B%E0%A4%B0%E0%A5%8B%E0%A4%A8%E0%A4%BF%E0%A4%B2_%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B8%E0%A4%BE%E0%A4%B0%E0%A4%BF,,%23%E0%A4%86%E0%A4%AF%E0%A5%81%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A5%87%E0%A4%A6%E0%A4%B5%E0%A4%BF%E0%A4%9C%E0%A4%AF_%E0%A4%95%E0%A5%8B%E0%A4%B0%E0%A5%8B%E0%A4%A8%E0%A4%BF%E0%A4%B2_%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B8%E0%A4%BE%E0%A4%B0%E0%A4%BF,421925.0
#PriyankaJhoothiVadra,http://twitter.com/search?q=%23PriyankaJhoothiVadra,,%23PriyankaJhoothiVadra,27579.0
Ayurveda,http://twitter.com/search?q=Ayurveda,,Ayurveda,20226.0
Komal Sharma,http://twitter.com/search?q=%22Komal+Sharma%22,,%22Komal+Sharma%22,
#SidNaazians,http://twitter.com/search?q=%23SidNaazians,,%23SidNaazians,35174.0
Humanitarian,http://twitter.com/search?q=Humanitarian,,Humanitarian,40767.0
letsmake roposono1,http://twitter.com/search?q=%22letsmake+roposono1%22,,%22letsmake+roposono1%22,
Saudi Arabia,http://twitter.com/search?q=%22Saudi+Arabia%22,,%22Saudi+Arabia%22,43411.0
Sanjay Gandhi,http://twitter.com/search?q=%22Sanjay+Gandhi%22,,%22Sanjay+Gandhi%22,
Anchal Gangwal,http://twitter.com/search?q=%22Anchal+Gangwal%22,,%22Anchal+Gangwal%22,
Country of Origin,http://twitter.com/search?q=%22Country+of+Origin%22,,%22Country+of+Origin%22,19290.0
Sadhvi Pragya,http://twitter.com/search?q=%22Sadhvi+Pragya%22,,%22Sadhvi+Pragya%22,
श्यामा प्रसाद मुखर्जी,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AE%E0%A4%BE+%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A4%BE%E0%A4%A6+%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A4%B0%E0%A5%8D%E0%A4%9C%E0%A5%80%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AE%E0%A4%BE+%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A4%BE%E0%A4%A6+%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A4%B0%E0%A5%8D%E0%A4%9C%E0%A5%80%22,72025.0
Tahir Hussain,http://twitter.com/search?q=%22Tahir+Hussain%22,,%22Tahir+Hussain%22,
#ModiXiHuzuriKyon,http://twitter.com/search?q=%23ModiXiHuzuriKyon,,%23ModiXiHuzuriKyon,
#CBSE,http://twitter.com/search?q=%23CBSE,,%23CBSE,
#TwitterExposesGodiMedia,http://twitter.com/search?q=%23TwitterExposesGodiMedia,,%23TwitterExposesGodiMedia,
#झूठा_सीएम_योगी,http://twitter.com/search?q=%23%E0%A4%9D%E0%A5%82%E0%A4%A0%E0%A4%BE_%E0%A4%B8%E0%A5%80%E0%A4%8F%E0%A4%AE_%E0%A4%AF%E0%A5%8B%E0%A4%97%E0%A5%80,,%23%E0%A4%9D%E0%A5%82%E0%A4%A0%E0%A4%BE_%E0%A4%B8%E0%A5%80%E0%A4%8F%E0%A4%AE_%E0%A4%AF%E0%A5%8B%E0%A4%97%E0%A5%80,
#RathYatra2020,http://twitter.com/search?q=%23RathYatra2020,,%23RathYatra2020,34239.0
#TuesdayThoughts,http://twitter.com/search?q=%23TuesdayThoughts,,%23TuesdayThoughts,28512.0
#OlympicDay,http://twitter.com/search?q=%23OlympicDay,,%23OlympicDay,
#ModiBabuPetrolBekabu,http://twitter.com/search?q=%23ModiBabuPetrolBekabu,,%23ModiBabuPetrolBekabu,59861.0
#SingleButNotAlone,http://twitter.com/search?q=%23SingleButNotAlone,,%23SingleButNotAlone,
#IndiaPushesBackChina,http://twitter.com/search?q=%23IndiaPushesBackChina,,%23IndiaPushesBackChina,15859.0
#coronavaccine,http://twitter.com/search?q=%23coronavaccine,,%23coronavaccine,
#14YearsOfKrrish,http://twitter.com/search?q=%2314YearsOfKrrish,,%2314YearsOfKrrish,
#History_Of_JagannathTemple,http://twitter.com/search?q=%23History_Of_JagannathTemple,,%23History_Of_JagannathTemple,428633.0
#H1Bvisas,http://twitter.com/search?q=%23H1Bvisas,,%23H1Bvisas,
#ShyamaPrasadMukherjee,http://twitter.com/search?q=%23ShyamaPrasadMukherjee,,%23ShyamaPrasadMukherjee,20114.0
#NamasteTrump,http://twitter.com/search?q=%23NamasteTrump,,%23NamasteTrump,
#PostponeSSLCExam,http://twitter.com/search?q=%23PostponeSSLCExam,,%23PostponeSSLCExam,
#सफूरा_जरगर,http://twitter.com/search?q=%23%E0%A4%B8%E0%A4%AB%E0%A5%82%E0%A4%B0%E0%A4%BE_%E0%A4%9C%E0%A4%B0%E0%A4%97%E0%A4%B0,,%23%E0%A4%B8%E0%A4%AB%E0%A5%82%E0%A4%B0%E0%A4%BE_%E0%A4%9C%E0%A4%B0%E0%A4%97%E0%A4%B0,
#PetrolDieselPriceHike,http://twitter.com/search?q=%23PetrolDieselPriceHike,,%23PetrolDieselPriceHike,
#BreatheIntoTheShadows,http://twitter.com/search?q=%23BreatheIntoTheShadows,,%23BreatheIntoTheShadows,
